ID ,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
12435,2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M
12436,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
12437,2022,EN,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M
12438,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
12439,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
12440,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
12441,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
12442,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
12443,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
12444,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
12445,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
12446,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
12447,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
12448,2022,EX,FT,,110000,USD,110000,US,100,US,M
12449,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
12450,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
12451,2022,SE,FT,,112900,USD,112900,US,100,US,M
12452,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
12453,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
12454,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
12455,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
12456,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
12457,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
12458,2022,SE,FT,,243900,USD,243900,US,100,US,M
12459,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
12460,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
12461,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
12462,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
12463,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
12464,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
12465,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
12466,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
12467,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
12468,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
12469,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
12470,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
12471,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
12472,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
